Question Number,Question Type,Question Text,option a,option b,option c,option d,Max Marks
MCQ 8,MCQ,A Virologist is evaluating the strains used in OPV...,They replicate in the gut but have reduced neurovirulence,They generate strong IgE mediated immune responses,They require preservative free storage,They replicate exclusively in Neural tissue,1
MCQ 9,MCQ,A 24 year old male was admitted to the Critical care unit following a RTA... Suspected VAP...,Obtaining isolates from Tracheal aspirate,BAL Quantitative culture,Chest x-ray findings,Clinical pulmonary infection score,1
MCQ 10,MCQ,Assertion and Reasoning: Assertion(A): Haemophilus ducreyi causes painful genital ulcers...,Both A and R are true & R is correct,Both A and R are true & but R is not correct,A is True but R is False,A is False but R is True,1
MCQ 11,MCQ,A 35 year old diabetic presented to the neurosurgery OPD with symptoms of focal seizures...,Peptostreptococcus magnus,Klebsiella pneumoniae,Bacteroides fragilis,Fusobacterium necrophorum,1
MCQ 12,MCQ,Multiple Completion type: Which of the following are characteristics of Adenoviruses?,"Only if 1,2 &3 are correct",Only if 1&3 are correct,Only if 2&4 are correct,All four are correct,1
MCQ 13,MCQ,A 30 year old veterinarian presented with fever night sweats arthralgia...,Bordetella pertussis,Bacillus anthracis,Brucella melitensis,Borrelia burgdorferi,1
MCQ 14,MCQ,A 21 year old army recruit develops features suggestive of Waterhouse Friederichsen syndrome...,Vaccine induces only IgM antibodies,Vaccine does not provide protection against serogroup B,Vaccine requires annual boosters,Vaccine covers only Serogroup C,1
MCQ 15,MCQ,Assertion and Reasoning: Assertion (A): The Catarrhal stage of pertussis is the most infectious...,Both A and R are true & R is correct,Both A and R are true & but R is not correct,A is True but R is False,A is False but R is True,1
MCQ 16,MCQ,A 32 yr old farmer presents with severe pain redness & blurred vision in the right eye...,Microsporum gypseum,Penicillium notatum,Curvularia lunata,Fusarium solani,1
MCQ 17,MCQ,Multiple Completion type: 1. NNN Medium is used to cultivate L.donovani...,"Only if 1,2 &3 are correct",Only if 1&3 are correct,Only if 2&4 are correct,All four are correct,1
MCQ 18,MCQ,A 25 year old male presented with features of Watercan perineum...,Mannitol Salt Agar,New york City Medium,Potato dextrose Agar,Chocolate agar,1
MCQ 19,MCQ,A 38 year old man presents with sterile pyuria flank pain and haematuria...,Conventional PCR,Line probe assay,GeneXpert,RT-PCR-QPCR,1
MCQ 20,MCQ,A 25 year old male from a rural area presented with sudden fever chills and painful swelling in the right groin...,Fishy Odour,Inverted fir tree appearance,Stalactite growth,Satellitism,1
